Moon Phase,Date,Time (Universal Time)
Full Moon,2016 Sep 16,2025-01-11 19:05:00
Full Moon,2016 Oct 16,2025-01-11 04:23:00
Full Moon,2016 Nov 14,2025-01-11 13:52:00
Full Moon,2016 Dec 14,2025-01-11 00:05:00
Full Moon,2015 Feb 3,2025-01-11 23:09:00
Full Moon,2015 Mar 5,2025-01-11 18:05:00
Full Moon,2015 Apr 4,2025-01-11 12:05:00
Full Moon,2015 May 4,2025-01-11 03:42:00
Full Moon,2015 Jun 2,2025-01-11 16:19:00
Full Moon,2015 Jul 2,2025-01-11 02:20:00
Full Moon,2015 Jul 31,2025-01-11 10:43:00
Full Moon,2015 Aug 29,2025-01-11 18:35:00
Full Moon,2015 Sep 28,2025-01-11 02:50:00
Full Moon,2015 Oct 27,2025-01-11 12:05:00
Full Moon,2015 Nov 25,2025-01-11 22:44:00
Full Moon,2015 Dec 25,2025-01-11 11:11:00
Full Moon,2014 Jan 16,2025-01-11 04:52:00
Full Moon,2014 Feb 14,2025-01-11 23:53:00
Full Moon,2014 Mar 16,2025-01-11 17:08:00
Full Moon,2014 Apr 15,2025-01-11 07:42:00
Full Moon,2014 May 14,2025-01-11 19:16:00
Full Moon,2014 Jun 13,2025-01-11 04:11:00
Full Moon,2014 Jul 12,2025-01-11 11:25:00
Full Moon,2014 Aug 10,2025-01-11 18:09:00
Full Moon,2014 Sep 9,2025-01-11 01:38:00
Full Moon,2014 Oct 8,2025-01-11 10:51:00
Full Moon,2014 Nov 6,2025-01-11 22:23:00
Full Moon,2014 Dec 6,2025-01-11 12:27:00
Full Moon,2015 Jan 5,2025-01-11 04:53:00
